Title,Price (Rp)
FINAL FANTASY X/X-2 HD Remaster (Chinese/Korean Ver.),"339,000"
SOULCALIBUR VI (English),"102,000"
"Mortal Shell: Enhanced Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","429,000"
"STEEP - Digital Standard Edition (Simplified Chinese, English, Traditional Chinese)","229,000"
"Everybody's Golf (English, Korean, Traditional Chinese)","214,500"
Shadow of the Colossus™ (English/Chinese/Korean Ver.),"369,000"
FINAL FANTASY XII THE ZODIAC AGE (Chinese/Korean Ver.),"617,000"
GRAVITY RUSH 2  (Standard Edition) (English/Chinese/Korean Ver.),"349,500"
Darksiders Genesis (Game),"579,000"
"Warhammer: Chaosbane Slayer Edition (Simplified Chinese, English, Korean, Traditional Chinese)","829,000"
"Bloodstained: Ritual of the Night (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","550,000"
WATCH_DOGS™ - Digital Standard Edition PlayStation®Hits (English),"279,000"
"Terraria – PlayStation®4 Edition (English, Korean)","272,000"
"Watch Dogs 2 - Digital Standard Edition PlayStation®Hits (Simplified Chinese, English, Korean)","41,850"
"For Honor - Digital Standard Edition (Simplified Chinese, English, Korean)","345,000"
"Far Cry 4 - Digital Standard Edition PlayStation®Hits (English, Korean)","279,000"
Friday the 13th the Game (English/Chinese Ver.),"69,000"
"Blasphemous (Simplified Chinese, English, Korean, Japanese)","107,100"
"Far Cry®3 Classic Edition - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","89,750"
"God of War (English, Korean, Traditional Chinese)","309,000"
"MONOPOLY® Madness (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","399,000"
"Desperados III (Simplified Chinese, English, Korean)","579,000"
My Friend Pedro (English),"279,000"
Bloodborne™ PlayStation®Hits (English/Chinese/Korean Ver.),"279,000"
Wreckfest (Game),"150,150"
Wreckfest PlayStation®5 Version (English),"347,400"
MediEvil (English),"429,000"
Dragon Star Varnir (English Ver.),"579,000"
"The Fisherman: Fishing Planet (Simplified Chinese, English, Traditional Chinese)","579,000"
"Tearaway™ Unfolded (Simplified Chinese, English, Korean)","339,000"
FINAL FANTASY VIII Remastered (English/Japanese Ver.),"285,000"
"Ghostrunner (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","422,000"
ALIENATION™ (English/Chinese/Korean Ver.),"299,000"
Death end re;Quest (English Ver.),"557,000"
"Hello Neighbor (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","107,250"
"Last Stop (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","139,600"
"Days Gone Standard Edition (Simplified Chinese, English, Korean)","579,000"
ONINAKI (English/Japanese Ver.),"715,000"
Trials® Rising - Digital Standard Edition (English/Chinese/Japanese Ver.),"229,000"
For The King (English/Chinese/Korean/Japanese Ver.),"235,000"
Ashen (English/Chinese/Korean/Japanese Ver.),"139,500"
Darksiders III (Game),"579,000"
"Secret Neighbor (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","279,000"
Middle-earth™: Shadow of War™ (English/Chinese/Korean Ver.),"149,780"
FINAL FANTASY VII (English/Japanese Ver.),"198,000"
"FINAL FANTASY VII REMAKE (Simplified Chinese, Korean, Traditional Chinese)","429,000"
WORLD OF FINAL FANTASY (Chinese/Korean Ver.),"330,000"
"Call of Cthulhu® (Simplified Chinese, English, Korean)","279,000"
"FAR CRY 3: BLOOD DRAGON CLASSIC EDITION (Simplified Chinese, English, Korean, Traditional Chinese)","59,600"
Killzone™ Shadow Fall PlayStation®Hits (English/Chinese/Korean Ver.),"139,500"
XCOM 2 (English/Chinese/Korean Ver.),"40,000"
"Moving Out (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","101,700"
"Totally Reliable Delivery Service (English, Korean, Japanese)","199,000"
FIGHTING EX LAYER (Standard Version) (English/Japanese Ver.),"449,000"
Detroit: Become Human™ Standard Edition (English/Chinese/Korean Ver.),"309,000"
"Battle Chasers: Nightwar (Simplified Chinese, English, Korean, Japanese)","429,000"
PAW Patrol On a Roll (English),"665,000"
Harvest Moon®: Light of Hope Special Edition (English Ver.),"556,000"
The Messenger (English/Korean/Japanese Ver.),"250,000"
FINAL FANTASY® IX (English Ver.),"199,000"
The Surge 2 (English/Chinese/Korean Ver.),"429,000"
Prison Architect: PlayStation®4 Edition (Game),"349,000"
"The Artful Escape (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","139,500"
The LEGO® Movie Videogame full game (English Ver.),"684,000"
"Deliver Us The Moon PS4 & PS5 (Simplified Chinese, English, Korean, Japanese)","235,000"
"Deliver Us The Moon PS4 & PS5 (Simplified Chinese, English, Korean, Japanese)","235,000"
Valiant Hearts: The Great War full game (English),"140,000"
"Overcooked! 2 (Simplified Chinese, English, Korean, Japanese)","348,000"
"Caladrius Blaze (English, Korean)","286,000"
The MISSING: J.J. Macfield and the Island of Memories (English/Chinese/Korean/Japanese Ver.),"384,000"
"Destruction AllStars (Simplified Chinese, English, Korean, Traditional Chinese)","279,000"
inFAMOUS Second Son™ PlayStation®Hits (English/Chinese/Korean Ver.),"279,000"
Until Dawn™ PlayStation®Hits (English/Chinese/Korean Ver.),"279,000"
South Park™: The Fractured but Whole™ - Digital Standard Edition (English),"172,250"
"GRIP (Simplified Chinese, English, Korean)","577,000"
Monster Jam Steel Titans 2 (English),"173,700"
"Monster Truck Championship (Simplified Chinese, English, Korean, Thai, Traditional Chinese)","579,000"
The Last Guardian (English/Chinese/Korean Ver.),"490,000"
"Batman™: Arkham Knight PlayStation®Hits (English, Korean)","279,000"
Observation (English/Korean/Japanese Ver.),"350,000"
"This is the Police (Simplified Chinese, English)","279,000"
"Golf With Your Friends (Simplified Chinese, English, Japanese, Traditional Chinese)","271,000"
The Crew (English),"289,000"
ABZU (English),"266,000"
"JUDGE EYES: wills of death Remastered (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","239,000"
ReadySet Heroes (English/Chinese/Korean Ver.),"309,000"
"This Is the Police 2 (English, Korean, Japanese, Traditional Chinese)","128,700"
South Park: The Stick of Truth (English),"359,000"
"Embr (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","279,000"
Starlink: Battle for Atlas - Digital Edition (English/Chinese/Korean/Japanese Ver.),"289,000"
"Marvel's Spider-Man: Miles Morales PS4 & PS5 (Simplified Chinese, English, Korean, Traditional Chinese)","729,000"
Hotline Miami 2: Wrong Number (English Ver.),"189,000"
How to Survive 2 (English),"39,600"
Surviving Mars (English),"398,000"
MATTERFALL™ (English/Chinese/Korean Ver.),"239,000"
"Concrete Genie Digital Deluxe Edition (English, Korean, Thai, Traditional Chinese)","579,000"
"Warhammer 40,000: Inquisitor - Martyr (English)","655,000"
Space Hulk: Deathwing - Enhanced Edition (English Ver.),"107,250"
"Lawn Mowing Simulator PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","279,000"
"I Am Dead (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","111,600"
"Fade to Silence (English, Japanese, Traditional Chinese)","429,000"
Shadow of the Beast™ (English/Chinese/Korean Ver.),"299,000"
"ZOMBI (English, Japanese)","197,000"
"FORECLOSED (English, Korean, Japanese, Traditional Chinese)","279,000"
"Brothers: A Tale of Two Sons (Simplified Chinese, English, Japanese)","52,200"
Vampyr (English Ver.),"579,000"
"Stellaris: Console Edition (English, Korean, Japanese)","531,000"
ELEX (English),"829,000"
Trials Fusion (English),"199,000"
"KINGDOM HEARTS Melody of Memory (Simplified Chinese, Korean, Traditional Chinese)","699,000"
RESOGUN™ full game (English),"42,500"
KNACK full game (English/Chinese/Korean Ver.),"299,000"
Transference™ - Digital Edition (English/Chinese/Korean/Japanese Ver.),"289,000"
"Observer: System Redux (Simplified Chinese, English, Korean, Japanese)","429,000"
The Elder Scrolls Online - PS4 (English),Included
"Eagle Flight (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","539,000"
Bomber Crew (English/Japanese Ver.),"140,000"
"Space Crew: Legendary Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","349,000"
"Trials of the Blood Dragon Game (Simplified Chinese, English)","195,000"
"Age of Wonders: Planetfall (English, Korean)","715,000"
"No Straight Roads (Simplified Chinese, English, Korean, Malay, Japanese, Traditional Chinese)","769,000"
DAMASCUS GEAR : Operation Tokyo HD Edition (Japanese Ver.),"189,000"
Get Even (English Ver.),"260,000"
ADR1FT (English),"66,500"
BOUND: Shattered Kingdom (English/Chinese/Korean Ver.),"266,000"
Hue (English Ver.),"199,000"
Entwined™ full game (English Ver.),"120,000"
"11-11: Memories Retold (English, Japanese)","21,000"
TowerFall Ascension full game (English Ver.),"180,000"
The Technomancer (English Ver.),"162,000"
Space Junkies™ - Digital Standard Edition (English/Chinese/Korean/Japanese Ver.),"459,000"
Star Trek: Bridge Crew - Digital Standard (English),"289,000"
Risk Urban Assault (English),"195,000"
Werewolves Within (English),"359,000"
TorqueL full game (English Ver.),"106,000"
"Tetris® Effect: Connected (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","496,000"
"Rez Infinite (Simplified Chinese, English, Korean, Japanese)","336,000"
Payday 2 Crimewave Edition (English),"266,000"
NARUTO TO BORUTO: SHINOBI STRIKER (English),"279,000"
"Monster Truck Championship (Simplified Chinese, English, Korean, Thai, Traditional Chinese)","579,000"
"Maneater PS4 & PS5 (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","579,000"
Mahjong (English),"139,000"
"Magicka 2: Base Edition (English, Korean, Traditional Chinese)","204,000"
MudRunner (English Ver.),"499,000"
LOST SPHEAR (Japanese Ver.),"470,000"
Legendary Fishing Digital Edition (English/Chinese/Korean/Japanese Ver.),"345,000"
Life is Strange: Before the Storm Complete Season (English Ver.),"160,000"
Kingdom Two Crowns (English),"279,000"
DYNASTY WARRIORS 8 Empires full game (Japanese Ver.),"659,000"
"Far Cry 6 - Digital Standard Edition PS4 & PS5 (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","187,250"
"Sakuna: Of Rice and Ruin (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","269,000"
"Bus Simulator 21 Next Stop (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","579,000"
Rise of the Tomb Raider: 20 Year Celebration (Game),"455,000"
Shadow of the Tomb Raider (English Ver.),Included
"RESIDENT EVIL 7 biohazard (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)",Included
DRAGON BALL Z: KAKAROT PS4&PS5 (English),Included
FINAL FANTASY TYPE-0 HD (English Ver.),"339,000"
FINAL FANTASY TYPE-0 HD (Japanese Ver.),"339,000"
"ACE COMBAT™ 7: SKIES UNKNOWN (English, Japanese)",Included
Street Fighter V: Champion Edition (Game),"144,500"
Megadimension Neptunia™ VII (English Ver.),"139,000"
MEGADIMENSION NEPTUNIA VII (Chinese Ver.),"539,000"
Yakuza 6: The Song of Life (English Ver.),"334,400"
Ikenie to Yuki no Setsuna (Japanese Ver.),"488,000"
KINGDOM HEARTS III (English Ver.),"724,000"
DRAGON QUEST XI S: Echoes of an Elusive Age – Definitive Edition (English),"579,000"
DRAGON QUEST BUILDERS 2 (English Ver.),"499,000"
DRAGON QUEST BUILDERS 2 (Japanese Ver.),"499,000"
DRAGON QUEST HEROES II™ (English Ver.),"635,000"
DRAGONQUEST HEROES II Futago no Ou to Yogen no Owari (Japanese Ver.),"779,000"
Yakuza 0 (English Ver.),"319,440"
Ryu Ga Gotoku 0: Chikai No Basyo (Japanese Ver.),"312,840"
Judgment (English Ver.),"239,000"
"Ryu Ga Gotoku 7: Hikari To Yami No Yukue International (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","258,060"
YAKUZA KIWAMI (English Ver.),"131,120"
Yakuza Kiwami 2 (English Ver.),"297,000"
DRAGON QUEST BUILDERS™ (English Ver.),"299,000"
DRAGON QUEST BUILDERS：Alefgard wo Fukkatsu Seyo (PS4™) (Japanese Ver.),"814,000"
DRAGON QUEST HEROES: The World Tree's Woe and the Blight Below (English Ver.),"339,000"
Dragon Quest Heroes™: Yamiryuu to Sekaiju no Shiro full game (Japanese Ver.),"339,000"
"FINAL FANTASY VII REMAKE INTERGRADE (Japanese/English Version) (English, Japanese)","579,000"
"Marvel's Guardians of the Galaxy PS4 & PS5 (English/Japanese Version) (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","829,000"
"Oddworld: Soulstorm Enhanced Edition (Simplified Chinese, English, Japanese, Traditional Chinese)","579,000"
"Assassin's Creed® Syndicate - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","107,700"
OUTRIDERS PS4 & PS5 (English),"579,000"
"Control: Ultimate Edition (Simplified Chinese, English, Korean, Traditional Chinese)","570,000"
Assassin's Creed® IV Black Flag - Digital Standard Edition – PlayStation®Hits (English),"279,000"
"Assassin's Creed Origins - Digital Standard Edition (Simplified Chinese, English, Korean, Traditional Chinese)","98,850"
Assassin's Creed® Freedom Cry Standalone full game (English/Chinese/Japanese Ver.),"104,000"
"Assetto Corsa Competizione (English, Korean)","769,000"
"Assetto Corsa Competizione (Simplified Chinese, English, Korean, Traditional Chinese)","579,000"
FINAL FANTASY X/X-2 HD Remaster (English Ver.),"339,000"
FINAL FANTASY X/X-2 HD Remaster (Japanese Ver.),"339,000"
"Tennis World Tour 2 (Simplified Chinese, English, Korean, Traditional Chinese)","699,000"
"Tennis World Tour 2 - Complete Edition (Simplified Chinese, English, Korean, Traditional Chinese)","699,000"
FINAL FANTASY XII THE ZODIAC AGE (English/Japanese Ver.),"617,000"
