Halaman,Berita
13,"Pendaftaran Resmi Dibuka, AEE 2023 Bakal Sediakan Informasi Prodi, Kemahasiswaan, hingga Golden Ticket"
13,Aarnee Baskoro Bagikan Pengalamannya Berkuliah di Korea Selatan
13,Prospek Lulusan Ilmu Sejarah Tersebar di Berbagai Profesi
13,UNAIR Terjunkan 1458 Mahasiswa KKN BBK di 11 Kabupaten dan Kota
13,Inovasi Limbah Ternak Bawa Mahasiswa UNAIR Raih Top 3 di Ajang Internasional
13,"UNAIR Gelar Pameran Arsip, Kenang Wabah Covid-19 di Indonesia"
14,Inilah Rentetan Dampak Kenaikan Suku Bunga di Indonesia
14,"Luncurkan Ensiklopedia Sejarah dan Budaya Kota Surabaya, Dekan FIB Terima Penghargaan Walikota"
14,"Kukuhkan Empat Gubes Baru, Rektor UNAIR: Harus Manfaat ke Masyarakat"
14,Mengenal Mahasiswa Disabilitas Netra Pertama UNAIR yang Berhasil Jadi ASN di Kementerian
14,"Jalan Karier Maria Kristi, Alumnus FH yang Kini Jadi Dirjen Perhubungan Udara RI"
14,"Tak Harus Jauh dan Mahal, Dosen Pariwisata UNAIR Berikan Tips Libur Nataru"
14,"Wakili FRI, Rektor UNAIR Berikan Bantuan Kepada PemKab Cianjur Pasca Bencana"
14,UNAIR Boyong 10 Penghargaan di Anugerah Diktiristek 2022
14,"Naik Peringkat, UNAIR Masuk 10 Besar UI GreenMetric 2022"
14,UNAIR Kembali Raih Kategori “Informatif” Anugerah Keterbukaan Informasi Publik
14,"Peduli Bencana, LPPM UNAIR Serahkan Donasi untuk Korban Gempa Cianjur"
14,Inovasi ARMAdA UNAIR Terima Penghargaan dari Menpan RB
15,Donnie Sibarani Ramaikan Penutupan Dies Natalis Ke-68 UNAIR
15,UNAIR Bawa Pulang Dua Medali dan Juara Favorite di PIMNAS
15,"Borong Medali, UNAIR Juara Umum KMI Expo 2022"
15,UNAIR Raih Akreditasi Unggul dari BAN-PT
15,"Beda Skema dengan Tahun Lalu, UNAIR Berikan Sosialisasi PMB 2023"
15,Mahasiswa UNAIR Raih Juara Pertama Paper Presentation PNMHII
15,Gubernur Khofifah Apresiasi UNAIR Lolos di Peringkat 81 pada Top 100 Perguruan Tinggi Asia
15,"QS AUR, UNAIR Tembus 100 Kampus Terbaik Asia"
15,INAVAC Dapatkan Izin Penggunaan Darurat Oleh BPOM
15,"Dies Natalis ke-68, Rektor UNAIR Paparkan Capaian dan Kontribusi UNAIR bagi Bangsa dan Negara"
15,"Diduga Jadi Penyebab Gagal Ginjal Akut, Pakar Farmasi UNAIR Berikan Penjelasan Soal Etilen Glikol dan Dietilen Glikol"
15,Makanan Tradisional Bawa Mahasiswa FIB UNAIR Sabet Juara 2 SASEC 2022
16,Makanan Tradisional Bawa Mahasiswa FIB UNAIR Sabet Juara 2 SASEC 2022
16,Dosen UNAIR Bagi Tips Kelola Portofolio Hadapi Ancaman Resesi 2023
16,"Hadiri Forum Rektor Indonesia, Mahfud MD Imbau Perguruan Tinggi Perkuat Demokrasi"
16,Forum Rektor Indonesia 2022 Kukuhkan Rektor UNAIR sebagai Ketua Periode 2022-2023
16,Forum Rektor Indonesia 2022 Tekankan Persiapan untuk Menghadapi Isu Global di Masa Mendatang
16,"FRI 2022, Nadiem Makarim: Transformasi Perguruan Tinggi Dukung Indonesia Emas 2045"
