Halaman,Berita
56,"Tak Sebagus Obama, Makna Kemenangan Trump Bagi Hubungan Indonesia-AS"
56,KPK Tunggu Peran Kampus dalam Mengawal Agenda Antikorupsi
56,Rektor Berikan Penghargaan Bagi Sivitas Berprestasi
56,Menteri Pertanian RI Apresiasi Produk Unggulan UNAIR
56,"Mewujudkan Indonesia Berkeadilan, Misi Utama 62 Tahun UNAIR"
56,Jadilah Pahlawan Dalam Kehidupan Sehari-hari !
56,Help Center Ajak Mahasiswa Disabilitas dan Umum Ikuti Pelatihan Menulis
56,IKA UNAIR Luncurkan Buku Jejak Langkah Ksatria Airlangga
56,Suara Surabaya Ajak Rektor Berdialog Dies Natalis UNAIR
57,Mahasiswa UNAIR Menangkan Film Inspirasi Terbaik
57,Tarik Minat Mahasiswa FISIP Lanjutkan Studi ke Prancis
57,Peserta AISC ISS Belajar Lebih Tentang Indonesia
57,"Rektor: Buku Seratus Pakar, Hadiah Terindah 62 Tahun UNAIR"
57,Sastrawan Seno Gumira Ajidarma Tegaskan Peran Bahasa dalam Hidup Berbangsa
57,"Kembangkan Kelautan, Perguruan Tinggi Miliki Peran Strategis"
57,Pengmas-PKL Fakultas Keperawatan UNAIR Sedot Ratusan Warga Dupak
57,Pentingnya Memahami HAM dalam Dunia Bisnis
57,"Atasi Perubahan Iklim, WHO Ajak Perbaiki Lingkungan"
57,Krisis Kepemimpinan Jadi Problem Generasi Muda
57,Trio FEB Raih Predikat Harapan I Kompetisi Ide Bisnis Nasional
57,Tiga Lulusan UNAIR Lestarikan Budaya Melalui Film Dokumenter
58,Ratusan Mahasiswa Mancanegara Ikuti Seminar dan Kompetisi Internasional UNAIR
58,Sekolah Staf dan Komando TNI Jalin Kerjasama dengan UNAIR
58,FK UNAIR Gelar Khitanan Massal untuk Ratusan Anak Banyuwangi
58,Membenahi Laboratorium Farmasi sebagai Pendukung Industri Obat dan Jamu
58,"Puncak Dies Natalis, UNAIR Adakan Orasi Ilmiah dan Pameran Riset"
58,Mahasiswa Farmasi Temukan Metode Deteksi Psikotropika Jenis Baru
58,Setelah Dokter Turun ke Jalan
58,Jalan Sehat dan Panen Ikan Tandai Pembukaan Peringatan Dies Natalis UNAIR Ke-62
58,UNAIR Bersholawat Diikuti Ribuan Peserta dan Dua Mantan Menteri
58,Khataman di UNAIR Diakhiri Dzikir Bersama dan Tausiyah Agama
58,"Tambah Pengalaman Mahasiswa, UNAIR Akan Adakan Kompetisi Internasional"
58,Rektor Buka Khataman Quran Oleh Mahasiswa UNAIR
59,Atlet Denali Latihan Tarik Ban Truk Keliling Kampus
59,FKM Gelar Seminar Internasional Bahas Kesehatan dan Lingkungan
59,Dosen UI Studi Banding ke UNAIR
59,Semangat Mahasiswa UNAIR dalam Memperingati Hari Sumpah Pemuda
59,"Terinspirasi dari UNAIR, Ponpes Al-Qodir Sleman Berkembang Modern"
59,UNAIR Persiapkan Kolaborasi Penelitian dengan Australia
59,Belasan Universitas dan Perusahaan Akan Meriahkan IRIEX 2016 di UNAIR
59,Peneliti se-Indonesia Ikuti Seminar Biologi Molekuler di FKH
59,"Peringati Dies Natalis, UNAIR Adakan Operasi Katarak Gratis Bagi Pasien Kurang Mampu"
59,Nominasi Tak Biasa dalam “Cangkrukan” Hima Budidaya Perikanan UNAIR Banyuwangi
59,62 Tahun UNAIR Bakal Dibanjiri Sholawat
59,Pengmas UNAIR Tumbuhkan Sumber Baru Ekonomi Rakyat Korban Merapi dan Obyek Pendidikan
60,Menkop dan UKM RI Apresiasi Pekan Ekonomi Kreatif dan Festival Budaya UNAIR
60,320 Stan Siap Ramaikan Pasar Rakyat
60,Perisai Diri UNAIR Borong Piala di Kejuaraan Tingkat Jawa Timur
60,BPM Gelar Rapat Tinjauan Manajemen
60,Ajak Guru Sadar Kesehatan Mental
60,Kuliah Umum Hubungan Bilateral dari Dubes dan Mantan Menlu Australia di UNAIR
60,Raih Posisi Kedua Lomba Kewirausahaan di Universitas Sriwijaya
60,"Pameran Outdoor, Konsep Terbaru Display Riset UNAIR"
60,Khataman Quran Ramaikan Dies Natalis UNAIR
60,"Cegah Karies, Dokter Gigi Anak Pecahkan Rekor MURI"
60,"Student Week,  Ajang Silaturahmi dan Gali Potensi Mahasiswa UNAIR"
60,Kelas Internasional FK UNAIR Luluskan Dokter Asal Malaysia
61,Konsulat Jenderal AS Surabaya Berbagi Seputar Pemilihan Umum
61,"Jajaki peluang ASIA, NSYSU Bahas Kerjasama dengan UNAIR"
61,Reviewer Dikti Monev 236 Judul Penelitian Periset UNAIR
61,Prodi Harapkan Umpan Balik dari Alumni
61,Rumah Sakit Penyakit Tropik Infeksi RS UNAIR Siap Beroperasi Pada 2 November
61,"UNAIR – UNUSA, Bersama Optimalkan Tri Dharma"
61,"KKN Tematik, Mahasiswa Asing UNAIR Dampingi Ibu Hamil"
61,Rumah Sakit UNAIR Resmikan Bank Darah
61,"Cegah Konflik Kepentingan, Rektor UNAIR Jadi Narasumber TII"
61,Tiga Profesor UNAIR Serukan Eksplorasi Tanaman Herbal
61,UNAIR Jalin Kerja sama Keterbukaan Informasi Publik
61,"Pengajian Rutin UNAIR, Ajak Jamaah Berbenah dan Hijrah"
62,Wanala UNAIR Lakukan Tes Kedua Kebugaran Atlet
62,Beragam Acara Warnai Perayaan Dies Natalis UNAIR ke-62
62,Dua Jurnal Sukses Raih Akreditasi DOAJ
62,NCKU Taiwan Ajak UNAIR Riset Biologi Molekuler
62,"Lomba Desain Logo Masjid Ulul ‘Azmi UNAIR, Terbatas untuk Sivitas"
62,Tiga Profesor UNAIR Bahas Obat Herbal
62,Siswa SMAN VI Surabaya dan SMAN 1 Bluluk Lamongan Kunjungi UNAIR
62,"Pengurus IKA-UA Jember Dilantik, UNAIR-Pemkab Jember Jalin MoU"
62,Delegasi UNAIR Sabet  Juara Pertama Karya Tulis Ilmiah Nasional di Makassar
62,Memajukan Perikanan di Indonesia Lewat Tiga Bidang
62,Magister Manajemen dan Magister Sains Manajemen Raih Akreditasi A
62,Workshop Vokasi UNAIR Bahas Capaian Pembelajaran Pendidikan Tinggi
63,’World Food Day’ 2016 di Taman Blambangan Banyuwangi
63,Bulan Peduli Kanker Payudara 2016 Bersama FKM UNAIR Banyuwangi
63,"Mengkaji Dua Film Religi, Intan Fitranisa Lulus Terbaik S2 FISIP"
63,"Esti Yunitasari Wisudawan Terbaik FKM, Dessy Wulansari S1 Psikologi"
63,"Ajak 2.000 Siswa SD, Para Dokter Gigi Anak Siap Pecahkan Rekor MURI"
63,Impor Guru Besar Harus Selektif
63,Islamic Development Bank Jalin Kerjasama dengan FEB UNAIR
63,Menpan RB Akan Pecat Aparat Negara Lakukan ’Pungli’
63,Dosen UNAIR Jadi Pembicara dalam Legal Preventive Program Pertamina
63,Tiga Guru Besar UNAIR Diskusikan Keadilan dan Demokrasi
63,Rektor UNAIR Motivasi Mahasiswa Bidikmisi Tambahan
63,Dubes RI untuk Rusia Tawarkan Prodi Sastra Rusia di UNAIR
64,Study Tour SMK Telkom Banjarbaru Kalsel Kunjungi UNAIR
64,"Rita Yuliana Lulus Terbaik S3 FEB, Hafizh Mohammad Ingin Jadi Peneliti"
64,"Berjuang Ekstra Selesaikan Penelitian, Roisah Lulus Terbaik S2 Farmasi"
64,Mahasiswa Profesi Keperawatan UNAIR PKL di Krembangan Surabaya
64,Pemerintah Timor Leste Tindak Lanjuti Kerjasama dengan UNAIR
64,"Sejak 1975, FKH UNAIR Luluskan 3.952 Dokter Hewan"
64,Guru Besar UNAIR Akan Bicara Demokrasi dan Keadilan di Indonesia
64,Magister Media dan Komunikasi Galakkan Promosi Hingga Internasionalisasi
64,"Prestasi Sejak SMA, Indah Lutfiya Lulus Terbaik S-1 FKM UNAIR"
64,Fisioterapis Khabib Abdullah Lulus Terbaik S-2 FK
64,Yuk Ikuti Kompetisi Blog UNAIR!
64,"Bantu Advokasi Petani Rembang, Menang Gugatan di Mahkamah Agung"
65,Tim Futsal UNAIR Melaju ke Final Nasional LIMA 2016
65,Peraih Empat Medali Emas di PON XIX Siap Berlaga di Asia Champion
65,Dirjen Sumber Daya Iptek Berikan Kuliah Umum Di FKG UNAIR
65,"Gandeng Media, Pengajar UNAIR Berikan Tausiyah Ilmiah"
65,UNAIR Siap Selenggarakan Kuliah Tamu Penerima Nobel
65,Ajak Masyarakat Kampus Peduli Lingkungan
65,Kerja Keras Faiq Berbuah Predikat Wisudawan Terbaik Pascasarjana
65,’Man Jadda Wajada’ Motivasi Adhi Widhianto Lulus Terbaik FEB
65,Fadly Personel Padi: Berkarya dan Jadilah Kebanggaan untuk UNAIR
65,Adakan Pengmas Dengan Galang Donor Darah
65,Humas UNAIR Maksimalkan Pengelolaan Informasi Publik
65,SMAN 1 Manyar Siap Mengulang Sejarah Kembali
66,Pengantar dan Praktik Aplikasi Perpajakan bagi Mahasiswa Perpajakan
66,Mahasiswa FST Budidaya Hidroponik Bersama Siswa MTs Amanatul Ummah
66,"Obati Kerinduan Almamater, Alumni Angkatan 1965 FK UNAIR Adakan Reuni"
66,BEM FISIP UNAIR Adakan Pelatihan Ekonomi Kreatif
66,Pentingnya Perlindungan Hukum Bagi Tenaga Kesehatan
66,Sosialisasikan Rencana Strategis UNAIR Menuju Perguruan Tinggi Kelas Dunia Kepada Ormawa
66,"Totalitas dalam Belajar, Antar Melinda Andriyanti Lulus Terbaik FST"
66,"Meneliti Karya Sastra Jepang, Anne Alicia Lulus Terbaik FIB"
66,"Demi Menggapai Impian, 200 Siswa Berkunjung Ke UNAIR"
66,FH UNAIR Persiapkan Mahasiswa Magang di Institusi Peradilan
66,Bagi-bagi Telur Ayam dan Sate ala FKH UNAIR
66,"Teliti Anisakiasis, Qabilah Lulus Terbaik S2 FKH"
67,"Teliti Pemilukada, Surya Darma Jadi Wisudawan Terbaik S2 FH"
67,UNAIR Soroti Tiga Isu dalam Pertemuan Rektor PTN se-Jatim
67,"Dwi Rezky Lulus Terbaik Psikologi, Deynara Septin DP Terbaik S1 FKH"
67,"SMA Progesif Bumi Sholawat, Bekali Lulusan Perdana di Universitas Airlangga"
67,"UKM Pramuka, Berkemah dan Menyelami Kehidupan Wirausaha"
67,Mahasiswa Sejarah Ajak Melestarikan Situs Sejarah di Sampang
67,Masyarakat Hedon dan Serba Instan Gampang Terseret Bujukan Dimas Kanjeng
67,"Menikmati Pembelajaran, Kiat Rahma Sugihartati Jadi Wisudawan Terbaik"
67,"Hikmah Sering Ganti Judul, Farida Amalia Lulus Terbaik S1 FEB"
67,Sambut Tahun Baru Hijriah dengan Adakan Kampanye Positif
67,Atlet Panahan Boyong Medali untuk Jatim
67,"Harumkan Jatim, Atlet UNAIR Sabet Medali Perak Olahraga Darat dan Air"
68,Dua Peselam UNAIR Raih Emas pada PON XIX
68,"Kalahkan Lawan Senior Kempo, Atlet UNAIR Sabet Perunggu pada PON XIX"
68,"Rusdianto Sesung, Wisudawan Terbaik S3 FH karena Mencintai Ilmu"
68,"Nadia Intan, Model yang Lulus Terbaik Fakultas Hukum UNAIR"
68,Mahasiswa FEB Bawa Pulang Emas pada PON Cabang Olahraga Menembak
68,Peneliti Asal Harvard Beri Materi Publikasi Penelitian
68,Pebasket UNAIR Sumbangkan Dua Medali untuk Jatim
68,Pusat Riset Flu Burung UNAIR Ajak Industri dan Pemerintah Gunakan Teknologi Baru
68,"Resmi Dilantik, 93 Bidan Baru Siap Mengabdi untuk Masyarakat"
68,"Kunjungi Kampus, Motivasi Siswa Sejak Dini"
68,Lulusan UNAIR Harus Memiliki Softskill Bagus
68,"Peduli Kesehatan Ibu Hamil, FKG UNAIR Adakan Pemeriksaan Gigi dan Mulut"
69,"Terbantu Pengemudi Ojek, Nadia Jadi Lulusan Terbaik S2 FKp"
69,"Berkat Ridho Suami dan Doa Anak, Liliek Susilowati Lulus Terbaik S3 FST UNAIR"
69,Dekan FF UNAIR Tanggapi Maraknya Peredaran Obat Ilegal di Online Shop
69,"Pengmas FF UNAIR, Membangun Masyarakat Sehat bersama Apoteker"
69,Pagelaran Airlangga Sumbaga Wiratama Raih Sukses Besar di TMII
69,Kuliah Santai tapi Serius tentang Hukum Laut
69,"Berkat Semangat Orang Tua, Ika Meylan Wisudawan Terbaik S2 FKM"
69,"Bermanfaat untuk Sesama, Cita-cita Miranti, Wisudawan Terbaik FST UNAIR"
69,Tax Amnesty Masih Sisakan Problem Keadilan
69,"Prof. Tatiek Sri Djatmiati, Tax Amnesty Harus Dilandasi Asas Keadilan"
69,"Prof. Kacung Marijan, Tax Amnesty Stimulator Pertumbuhan Ekonomi"
69,"Prof. Tjiptohadi Sawarjuwono, Nilai Keberhasilan Tax Amnesty 2016"
70,Dua Mahasiswi Jerman dan Estonia Ikuti Pertukaran Pelajar di Farmasi UNAIR
70,"Berkah Jadi Tutor Teman, Mutia Lulus Terbaik Fakultas Vokasi"
70,"Lulusan Terbaik FK, Dedy Syahrizal Diwisuda Bersama Isteri"
70,"Coastal Area Care, Kontribusi UNAIR Banyuwangi untuk Pelestarian Lingkungan"
70,"IR-FEST, Ospek Unik dan Edukatif Mahasiswa Baru HI"
70,Menginspirasi Dokter Hewan Lewat Kajian Istimewa
70,KOMAHi FH UNAIR Adakan LKTI 2016 Tingkat Jawa Timur dan Bali
70,Perkembangan Teknologi Nuklir Harus Diawasi
70,Suasana Meriah Warnai Penyambutan Mahasiswa Mancanegara Baru UNAIR
70,"Wisuda September 2016, UNAIR Luluskan 3.327 Wisudawan"
70,"Riset Expo 2016, UNAIR Akan Undang Perguruan Tinggi dan Industri se-Indonesia"
70,"Hari ini, 1656 Mahasiswa UNAIR Diwisuda"
71,Gladi Prosesi Wisuda Untuk Mantapkan Acara
71,"Termotivasi Janji Pada Ibunya, Amelia Wisudawan Terbaik FISIP"
71,"Suka Duduk Paling Depan, Alfiatis Jadi Wisudawan Terbaik FKp"
71,Membina Keluarga Harmonis
71,Pengenalan Ke-UNAIR-an Mahasiswa PDD Banyuwangi Berakhir
71,Bahas Solusi Pro dan Kontra Kebijakan Pengampunan Pajak
71,Memperkuat Data Kinerja Penelitian
71,Pelantikan Dokter Spesialis I dan II Dihelat Bersama
71,Mahasiswa FH UNAIR Ikuti Simposium Internasional di Hong Kong
71,UNICEF: Program GELIAT UNAIR Begitu Menjanjikan Masa Depan
71,Membahas Diskursus Pembela HAM di Indonesia
71,Tim Basket UNAIR Raih Posisi Runner Up di Pertalite Cup 2016
72,Tax Amnesty Diharapkan Membawa Dampak Positif di Masyarakat
72,Pelajar SMK Boyolali Kenalan Kehidupan Kampus
72,Meningkatkan Kolaborasi dalam Pelayanan Kesehatan
72,Senam Pagi Berseri di Kampus UNAIR Mulyorejo
72,Dekan FK UNAIR Melantik dan Menyumpah 169 Ahli Madya Kesehatan
72,Rektor Jalin Silaturahmi ke Redaksi Kompas
72,Dosen FEB Belajar Memaknai Rejeki dari Tukang Becak
72,UNAIR Dipilih Sebagai Pioner Pencegahan Korupsi
72,Menjaga Pola Makan Sehat Era Modern
72,Pertukaran Mahasiswa Tingkat Lokal untuk Praktik Kebinekaan
72,"Mantan Dekan FISIP UNAIR Drs. Johanes Dwi Narwoko, MA, Tutup Usia"
72,"Menuju World Class University, Mahasiswa UNAIR Study Visit ke NUS"
73,Obat-obatan Palsu Jadi Tantangan Apoteker Baru
73,"Teliti Pencurian Kayu di Hutan, Dosen Antropologi Diapresiasi Menteri LHK RI"
73,Mahasiswa UNAIR Dibekali Sertifikat Penanganan Makanan
73,Pakar Endodontik Asal London Berbagi Ilmu di FKG UNAIR
73,UNAIR Gelar Grand Opening Pembinaan Baca Alquran 2016
73,12 Mahasiswa UNAIR Bertanding dalam PON XIX Jawa Barat
73,FKG Terima Enam Mahasiswa Asal Jepang
73,Salat Ied Adha dan Kurban di Rektorat Berlangsung Khidmat dan Lancar
73,UNAIR Godok Rencana Pelayanan Satu Atap
73,Pakar Kebudayaan Austronesia dari Hamburg University Sampaikan Wawasan Literasi
73,Angka Bebas Jentik Rendah? Geliti-in Aja!
73,Ajak Mahasiswa Berfikir Kritis Melalui Film Dokumenter Jihad Selfie
74,"Pengusaha, Artis, Musisi hingga Menteri Datang ke UNAIR"
74,Tingkatkan Publikasi dengan Bentuk Konsorsium Penelitian
74,Teknologi Informasi Permudah Suplai Produk
74,Presenter dan Wali Kota Surabaya Berbagi Motivasi di UNAIR
74,Tiga Bidang Akademik Perlu Diakselerasi Segera
74,Upayakan Solusi Perlindungan Minoritas Syiah Sampang
74,"Diskusi Rutin HI UNAIR, Bahas Hubungan Rusia dan China"
74,"Viva Outer Division, Pembeda PPKMB Ala UNAIR Banyuwangi"
74,Panitia EMTEK Goes to Campus Matangkan Persiapan Acara
74,Bentuk Kerjasama Pemerintah Swasta yang Ideal
74,Formara Siapkan Acara Edukatif Untuk Rayakan Ulang Tahun
74,FK UNAIR Ajak Masyarakat Hidup Sehat dengan Bersepeda Bersama
75,RS UNAIR Jadi Percontohan RS PTN Seindonesia
75,"Yuk, Ikut EMTEK Goes to Campus"
75,"Sering Nyanyi di Musik Lorong, Kini Jadi Pemusik Level Nasional"
75,Scouting UKM Wins Display UKM 2016
75,FKp UNAIR Bekali Mahasiswa dengan Kompetensi BTCLS
75,"Ciptakan Ide Sistem Pakar, Siffian Menangkan Lomba Esai Help Centre"
75,Stan UKM Pramuka Juara Display UKM 2016
75,University Must Accept More Financially Disabled Students with Achievements
75,"Lakukan Inovasi dan Kreasi, Raih Predikat Perawat Teladan Nasional"
75,"Often Performs at Musik Lorong, Now National Level Musician"
75,FKM UNAIR Luluskan Doktor ke-100
75,Perguruan Tinggi Harus Banyak Menampung Mahasiswa Miskin Berprestasi
76,Great Cycling Event with Thousand Participants
76,"UNAIR Rector Affirms 1,506 Postgraduate Students"
76,Rektor UNAIR Kukuhkan 1.506 Mahasiswa Baru Pascasarjana
76,Gowes Akbar Bareng Seribu Peserta
76,Help Centre UNAIR Jaring Gagasan Mahasiswa Lewat Lomba Esai
76,CS2 Ajak Mahasiswa Komunikasi se-Indonesia Bangun Smart City
76,"Pasutri Polisi, Kuliah Bareng S2 Kajian Ilmu Kepolisian"
76,Melatih Warga Mengemas dan Memasarkan Ikan Bandeng
76,Husband and Wife in Police Science Studies Master Program
76,CS2 Encourages Communications Students in Indonesia to Build Smart City
76,Help Centre UNAIR Draws Ideas through Essay Competition
76,Training Locals to Pack and Market Milkfish
77,FH UNAIR Holds National Seminar to Discuss Public Administration Law
77,Social Affairs Minister Khofifah Sheds Tears During Airlangga Hymn
77,National Chung Hsing University Taiwan Invites UNAIR for Collaboration
77,Mensos Khofifah Titikkan Air Mata Saat Bernyanyi Hymne Airlangga
77,"Bahas UU Administrasi Pemerintahan, FH UNAIR Adakan Seminar Nasional"
77,Unit Keselamatan Kerja Adakan Simulasi Kebakaran Bagi Pimpinan dan Karyawan
77,Tiga Guru Besar Ulas Riset dan Inovasi Stem Cell
77,Pre-Hospital Penanganan Neurotrauma di Indonesia Masih Jelek
77,Universitas Chung Hsing Taiwan Ajak UNAIR Kerjasama
77,Occupational Safety Unit Simulates Fire Emergency for Officials and Staff
77,Three Professors Discuss Stem Cell Research and Innovation
77,Qurban Animal Handling Training for Mosque Staff of Surabaya
78,FEB Students Study in Fontys of The Netherlands
78,UKM UNAIR Display 2016 Festivity
78,Pelatihan Rawat Hewan Kurban untuk Ta’mir se-Surabaya
78,Preventing Frozen Semen Damage through Protein Addition
78,Semarak Display UKM UNAIR 2016
78,Cegah Kerusakan Semen Beku dengan Tambahan Protein
78,Mahasiswa FEB Cicipi Kuliah di Fontys Belanda
78,Gus Ali Ajak Sivitas UNAIR Terapkan Jamu Jati Kendi
78,FEB Libatkan Alumni Perkuat Kapasitas Mahasiswa
78,FEB UNAIR Launches Official Youtube Channel
78,Lively FEB Alumni Gala Dinner
78,"Refreshing Course of Endo Resto, Update in Dental Treatment and Techniques"
79,FEB UNAIR Luncurkan Saluran YouTube Resmi
79,Suasana Meriah di Gala Dinner Alumni FEB
79,"Andianto Grateful, Graduated from FK UNAIR International Class"
79,Endogamy Marriages Simplify Unknown Individuals Identification
79,"Asma, FK International Class First Batch, Feels Like Pioneer"
79,Andianto Bersyukur Lulus Kelas Internasional Angkatan Pertama FK UNAIR
79,"Asma, Lulusan Perdana Kelas Internasional FK, Bagai Pejuang Perintis"
79,"Refreshing Course of Endo Resto, Update Perawatan dan Teknik   Kedokteran Gigi"
79,"Dentistry Charity, Bakti Mahasiswa FKG Untuk Negeri"
79,FEB Involves Alumni to Strengthen Student Capacity
79,Mawapres FKG Siap Bersaing di Tingkat Universitas
79,Detecting Livestock Early Pregnancy with Progesteron Diagnostic Kit
80,Alumni FKG UNAIR Zahrotur Riyad Jadi Dokter Teladan Nasional 2016
80,"Penutupan PPKMB, Tiga Alumni FPK UNAIR Beri Motivasi Mahasiswa Baru"
80,Gus Ali Encourages UNAIR Academicians to Implement Jamu Jati Kendi
80,"Perkawinan Endogami, Mudahkan Identifikasi Manusia Tak Beridentitas"
80,Ketahui Kebuntingan Dini Ternak dengan Kit Diagnostik Progesteron
80,"First in UNAIR, Sharing Knowledge with Three Professors At Once"
80,"Pertama di UNAIR, Berbagi Ilmu dengan Tiga Guru Besar Sekaligus"
80,Alumnus FKM Jadi Tenaga Kesehatan Terbaik se-Indonesia
80,UNAIR Kukuhkan Tiga Guru Besar Baru
80,UNAIR Affirms Three Professors
80,Alumnus FKM Becomes The Best Health Staff in Indonesia
80,Lulusan Vokasi Sudah Ditunggu Dunia Kerja
81,"Since 1954, UNAIR Has Had 452 Professors"
81,"Dukung UNAIR PT Kelas Dunia, FKM Adakan Temu Alumni"
81,Mahasiswa OSI Ciptakan Alat Permudah Pantau Perusahaan
81,Kelompok KKN-BBM UNAIR Revitalisasi Kawasan Wisata bersama Warga
81,"Sejak 1954, UNAIR Miliki 452 Guru Besar"
81,Vocations Graduates Expected in Professional World
81,FKM Holds Alumni Gathering to Support UNAIR Towards World Class University
81,Diskusi Kasus Kekerasan Terhadap Perempuan dalam Kondisi Difabilitas
81,"Penelitian Molekuler, Kajian yang Lagi Ngehits di FKH"
81,Beri Orientasi Agar Mahasiswa Baru Jadi Yuris yang Kompeten
81,Rektor Wacanakan Bentuk Tim Khusus Proyek Mahasiswa
81,"Molecular Research, Popular in FKH"
82,Rector Suggests Student Project Special Team
82,Discussion on Violence Case to Woman with Disability
82,Rector Appreciates Bronze Medal Winner from FK in Mathematics Olympiad
82,UNAIR Researcher Creates Formula to Prevent Gum Inflammation
82,Rektor Beri Apresiasi Peraih Perunggu Olimpiade Matematika Asal FK
82,"Museum Caffe FK UNAIR Dibuka, Menunya Pakai Istilah Kedokteran"
82,"Pasca Juara di Pimnas, PKM Anti Kantong Panda Semakin Laris"
82,Peneliti UNAIR Buat Formula Pencegahan Radang Gusi
82,"Museum Caffe FK UNAIR Open, Menu with Medical Terms"
82,Pemkab Gresik Fully Supports Campus E UNAIR Establishment
82,Pemkab Gresik Dukung Penuh Pembangunan Kampus E UNAIR
82,Hymne Airlangga dan Bendera Hima Sambut Mahasiswa Baru Vokasi
83,UKM PSHT UNAIR Gelar Training on Trainers se Jawa Timur
83,Gus Ipul Visits Facial Cleft Patient to Appreciate UNAIR Contribution
83,Gus Ipul Visits Facial Cleft Patient to Appreciate UNAIR Contribution
83,Petinggi Ditjen Pajak Bekali Pengetahuan Perpajakan Mahasiswa dan Dosen
83,"Apresiasi Kontribusi UNAIR, Gus Ipul Kunjungi Pasien Facial Cleft"
83,Students of Psychology Faculty Participate in Conference in Japan
83,FKG Holds Dental Teleconference in APAN 42-Hong Kong
83,Mahasiswa Fakultas Psikologi Ikuti Konferensi di Jepang
83,Mahasiswa Manajemen Field Trip ke Malaysia dan Singapura
83,FKG Selenggarakan Dental Teleconference di APAN 42-Hong Kong
83,UNAIR Rector: Collaboration to Maximize Potentials
83,Rektor UNAIR: Kolaborasi untuk Maksimalkan Potensi
84,UNAIR Wadahi Pertemuan Peneliti Indonesia dan Australia
84,Airlangga Neuro Surgical Workshop FK UNAIR Gunakan Kadaver dan Video 3D
84,Calisthenics and Fun Walk FK UNAIR Entertain Community
84,"AUN-QA Ahead, FKM Maximizes Airlangga University e-Learning Application"
84,Delegasi UNAIR Bawa Pulang Medali Pada Kejuaraan Renang Nasional
84,"Senam dan Jalan Sehat FK UNAIR, Sekaligus Menghibur Masyarakat"
84,UNAIR Alumni Choir Performes in Indonesia Persada Concert
84,Beragam Kegiatan Warnai Perpisahan KKN Mahasiswa UNAIR
84,"Sambut AUN-QA, FKM Maksimalkan Airlangga University e-Learning Application"
84,Alumni Paduan Suara UNAIR Tampil pada Konser Indonesia Persada
84,UNAIR Delegation Brings Home Medals in International Swimming Competition
84,Airlangga Neuro Surgical Workshop FK UNAIR Uses Cadaver and 3D Video
85,UNAIR Facilitates Researchers of Indonesia and Australia
85,RS UNAIR Treats Facial Cleft Case For the First Time
85,PPKMB Encourages Freshmen to Build Network with Freshmen from Other Faculties
85,PPKMB Ajak Mahasiswa Baru Berjejaring dengan Kawan Berbagai Fakultas
85,"Tekuni Taekwondo, Basofi Jadi Wisudawan Berprestasi"
85,UNAIR Strengthens Ties with Freshmen Parents
85,RS UNAIR Tangani Kasus Facial Cleft untuk Pertama Kali
85,Di Balik Kemeriahan Pembukaan AMERTA 2016
85,FKM UNAIR PKL Team Initiates Free Smoke Area Program
85,Favorite Lecturers to Attract Alumni in Gatherings
85,Tim PKL FKM UNAIR Inisiasi Program Gerakan Bebas Asap Rokok
85,UNAIR Alumnus Agustinus Rahardjo Guards President Policy Information
86,Alumnus UNAIR Agustinus Rahardjo Kawal Konten Informasi Kebijakan Presiden
86,Behind Festivity of AMERTA 2016 Opening
86,Dosen Favorit Bisa Jadi Magnet Pertemuan Alumni
86,UNAIR Jalin Silaturahmi dengan Orang Tua Mahasiswa Baru
86,Alumni UNAIR Ignasius Jonan Beri Motivasi Mahasiswa Baru
86,Rektor UNAIR Kukuhkan 6726 Mahasiswa Baru Jenjang S-1 dan Vokasi
86,Pendekar Silat UNAIR Borong Medali di Kejurnas Rektor Cup Nasional 2016
86,UNAIR Alumnus Ignasius Jonan Motivates Freshmen
86,UNAIR Rector Affirms 6726 Bachelor and Vocational Freshmen
86,Seventeenth of August Festivities in UNAIR
86,"Celebrating Seventeenth of August, Foreign Students Take Part in Javanese Speech Contest"
86,"Peringati 17 Agustus, Mahasiswa Asing Ikuti Lomba Pidato Bahasa Jawa"
87,Semarak Perayaan 17 Agustus di UNAIR
87,Mahasiswa UNAIR Raih ‘Best Presenter’ Mawapres Nasional
87,"HUT Ke-71 RI, Ayo Kerja Nyata dan Berinovasi!"
87,‘Memorable Moments’ dalam Semarak HUT Republik Indonesia ke-71
87,Merdeka! Agustusan di UNAIR Seru dengan Lomba-Lomba
87,Upacara Peringatan Hari Kemerdekaan Republik Indonesia Ke-71
87,Exciting Independence Day Celebration in UNAIR with Contests
87,71st Independence Day of Indonesia Ceremony
87,Memorable Moments in 71st Independence Day Celebration
87,"71st Independence Day, Let’s Work and Innovate!"
87,UNAIR Student Wins ‘Best Presenter’ in National Mawapres Selection
87,UNAIR Decorated with 1.5 Km of The Red and White
88,"Perbaiki Kualitas Informasi, Humas Fakultas Dilatih Memproduksi Berita"
88,Menguatkan Kembali Perjuangan Perempuan
88,"Improving Information Quality, Faculty Public Relations Trained to Produce News"
88,Stan P3UA Ramai Dikunjungi Saat Pameran di Jakarta
88,Perpustakaan UNAIR Bakal Dilengkapi Mini Teater
88,Ini Ciri Khas Mahasiswa Ilmu Komunikasi
88,Faculty of Vocations Holds Community Service in Tuban to Provide Education
88,"UNAIR Berhiaskan Balutan Merah Putih Sepanjang 1,5 Km"
88,Optimizing Information Openness in UNAIR
